Unnamed: 0,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets,Clean_Tweet
2,⁦@JoeManchinWV⁩ is rapist...the ⁦⁦@GOP⁩ and #moscowmitch keeps saying no but ⁦@JoeManchinWV⁩ #rapeculture keeps saying yes #rape #politics #democrats ⁦@POTUS⁩  https://t.co/7SLoy2pxEW,1390782207061544961,183,2021-05-07 21:34:52,,,en,Twitter for iPhone,0,0,rapistthe moscowmitch keep saying rapeculture keep saying yes rape politics democrat
4,RT @JusticeOzzie: Ms Brittany Higgins : “At the start of the meeting he (Scott Morrison) made a concession that he was sorry for my feeling…,1390780006435987456,140,2021-05-07 21:26:07,,,en,Twitter for Android,0,279,brittany higgins “at start meeting scott morrison made concession sorry feeling
7,⚠️A credible source in #Tigray: #Hawzien Hospital is under siege - 🇪🇹&amp;🇪🇷 troops are using hospital rooms to #rape women &amp; girls. Health officials in #Tigray have reported this to the @UN @EU &amp; Min. of Health @lia_tadesse. It has fallen on deaf ears @hrw @PowerUSAID @UNFPAEthiopia https://t.co/WK9P3GlWER,1390775573006405634,316,2021-05-07 21:08:30,,,en,Twitter Web App,0,0,⚠️a credible source tigray hawzien hospital siege 🇪🇹amp🇪🇷 troop using hospital room rape woman amp girl health official tigray reported amp min health fallen deaf ear
8,"RT @FarazPervaiz3: @arifaajakia In Gujranwala, another Christian girl Kinza,was raped and killed. #christianpersecution #rape https://t.co/…",1390774257765036036,140,2021-05-07 21:03:17,,,en,Twitter for Android,0,1,gujranwala another christian girl kinzawas raped killed christianpersecution rape
9,#MonaLisa‘s account of #rape is one of hundreds detailing #abuses in #Tigray where wave of unspeakable atrocities including #widespread #sexual assault targeting #women has been committed for the last 6 months. #WeaponizedRape @SecBlinken @USAmbUN @UN https://t.co/rOobYfLP2r,1390774105700511754,275,2021-05-07 21:02:40,,,en,Twitter for Android,0,0,monalisa‘s account rape one hundred detailing abuse tigray wave unspeakable atrocity including widespread sexual assault targeting woman committed last month weaponizedrape
10,"RT @Shewit41185080: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #…",1390773739785232384,140,2021-05-07 21:01:13,,,en,Twitter for Android,0,15,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand
11,"Absolutely disgusting Suspended sentence for trying to kill his partner on a childrens ward 
Compare to case below
Female victims are valued less by the police &amp; the courts 
We need a public inquiry! 
SIGN &amp; SHARE! 
This petition is for 
ALL #rape victims  https://t.co/e7VGi0efV1 https://t.co/CoPctwXLWA https://t.co/CVdP7WKQVt",1390773691957526533,336,2021-05-07 21:01:02,,,en,Twitter for Android,0,0,absolutely disgusting suspended sentence trying kill partner childrens ward compare case female victim valued less police amp court need public inquiry sign amp share petition rape victim
12,"RT @WesternSaharaQ: The Spanish Justice is looking for #BrahimGhali for cases of #Genocide, #Torture, #Rape etc..
This is the true Face of…",1390772514276642818,139,2021-05-07 20:56:21,,,en,Twitter for iPhone,0,3,spanish justice looking brahimghali case genocide torture rape etc true face
15,We need the decriminalisation of rape in the UK to be investigated independently The courts have refused to act as the law has not changed What is happening is those enforcing the law are failing victims allowing dangerous rapists to walk the streets #Rape https://t.co/e7VGi0efV1,1390771348704833539,280,2021-05-07 20:51:43,,,en,Twitter for Android,0,0,need decriminalisation rape investigated independently court refused act law changed happening enforcing law failing victim allowing dangerous rapist walk street rape
16,"In a worst situation:
#hunger - weaponized
#rape - weaponized
#disease - weaponized
#looting - weaponized
#burning - weaponized
#torture  - weaponized
massacring civilian - weaponized
#ActNow z last action.
#WithdrawEritreanTroops
@USAmbUN 
@antonioguterres 
@SecBlinken 
@eu_eeas",1390771258242093059,280,2021-05-07 20:51:21,,,en,Twitter Web App,0,0,worst situation hunger weaponized rape weaponized disease weaponized looting weaponized burning weaponized torture weaponized massacring civilian weaponized actnow last action withdraweritreantroops
17,"The #rape victim, #Mona_Lisa lay on a hospital bed in Mekelle, the main city in war-torn #Tigray, her body #devastated but her defiance on display.  #TigrayWarRapeVictims #WeaponizedRape @UN @UN_Women @HouseForeign @Haavisto @EUCouncil @USAmbUN https://t.co/rOobYfLP2r",1390769908317831170,268,2021-05-07 20:46:00,,,en,Twitter for Android,0,0,rape victim monalisa lay hospital bed mekelle main city wartorn tigray body devastated defiance display tigraywarrapevictims weaponizedrape
19,"#Rape is being used as a weapon as fighting rages in remote parts of #Tigray region. “Even if we had shouted,” one woman said, “there was no one to listen.” #TigrayWarRapeVictims #WeaponizedRape @UN_Women @HouseForeign @Haavisto @EUCouncil @USAmbUN @hrw https://t.co/rOobYfLP2r",1390768138455760896,277,2021-05-07 20:38:58,,,en,Twitter for Android,0,0,rape used weapon fighting rage remote part tigray region “even shouted” one woman said “there one listen” tigraywarrapevictims weaponizedrape
21,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390761939802931203,140,2021-05-07 20:14:20,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
